CODMUN,CO_UF,year,schools,teachers,students,office,SexoFem,Branco,water,energy,ESCompleto,Concursado,Urbano,math_score,reading_score,approval_rates,gdp,pme_year,treatment
1200203,12.0,2019,83.0,384.0,6773.0,1,0.473793001624095,0.09139229293,0.975903614457831,0.8915662651,0.486979166666666,0.169270833333333,0.511885427432452,209.79,203.92,,1439759839,2015.0,1
1200336,12.0,2019,23.0,81.0,2087.0,1,0.477240057498802,0.109247724005749,0.3913043478,0.521739130434782,0.629629629629629,0.444444444444444,0.598945855294681,211.35,198.83,,205213992,2015.0,1
1200351,12.0,2019,48.0,272.0,4396.0,0,0.478161965423111,0.08553230209,0.708333333333333,0.479166666666666,0.367647058823529,0.360294117647058,0.331437670609645,196.47,185.54,,194429667,2015.0,1
1200393,12.0,2019,34.0,153.0,2451.0,1,0.457364341085271,0.115055079559363,0.176470588235294,0.264705882352941,0.633986928104575,0.594771241830065,0.297429620563035,186.62,169.45,,118375191,2015.0,1
1200427,12.0,2019,44.0,118.0,1907.0,1,0.478238070267435,0.07865757735,0.454545454545454,0.818181818181818,0.4237288136,0.322033898305084,0.401678028316727,220.16,207.02,,190863266,2014.0,1
1200302,12.0,2019,88.0,158.0,2852.0,1,0.461430575035063,0.10133239831697,0.954545454545454,0.659090909090909,0.721518987341772,0.651898734177215,0.256661991584852,233.51,210.95,,362489642,2015.0,1
1200328,12.0,2019,60.0,108.0,2063.0,0,0.500727096461463,0.04120213282,0.383333333333333,0.1,0.333333333333333,0.296296296296296,0.206980126030053,192.55,180.15,,82098036,2015.0,1
1200609,12.0,2019,38.0,227.0,4845.0,1,0.451805985552115,0.114138286893704,0.973684210526315,0.368421052631578,0.7356828194,0.559471365638766,0.4788441692,216.61,198.45,,482623794,2015.0,1
1200344,12.0,2019,22.0,61.0,1536.0,0,0.472005208333333,0.015625,1.0,0.454545454545454,0.754098360655737,0.590163934426229,0.75390625,219.65,204.46,,131636951,2015.0,1
1200435,12.0,2019,48.0,116.0,2005.0,1,0.509725685785536,0.02294264339,0.270833333333333,0.08333333333,0.163793103448275,0.1034482759,0.338154613466334,172.77,161.04,,79724665,2005.0,0
1200500,12.0,2019,72.0,257.0,4091.0,1,0.469567342947934,0.02419946223,0.236111111111111,0.388888888888888,0.548638132295719,0.159533073929961,0.555609875336103,230.74,216.7,,539330928,2015.0,1
1200013,12.0,2019,5.0,59.0,1412.0,1,0.4532577904,0.162889518413597,1.0,1.0,0.915254237288135,0.677966101694915,0.632436260623229,217.06,201.16,,253152074,2015.0,1
1200138,12.0,2019,13.0,48.0,1255.0,1,0.464541832669322,0.08685258964,0.846153846153846,0.846153846153846,0.729166666666666,0.125,0.580876494023904,189.47,175.23,,159100003,2015.0,1
1200179,12.0,2019,11.0,56.0,1375.0,1,0.439272727272727,0.01963636364,0.818181818181818,0.636363636363636,0.892857142857142,0.571428571428571,0.656,203.21,187.2,,152806177,2015.0,1
1200385,12.0,2019,12.0,77.0,1340.0,1,0.454477611940298,0.05149253731,1.0,1.0,0.9220779221,0.454545454545454,0.51865671641791,207.63,198.19,,276129315,2015.0,1
1200401,12.0,2019,32.0,507.0,8837.0,1,0.479008713364263,0.143261287767341,1.0,1.0,0.942800788954635,0.380670611439842,0.843272603824827,246.48,228.64,,913074881,2015.0,1
1200450,12.0,2019,9.0,61.0,1389.0,1,0.464362850971922,0.05399568035,1.0,1.0,0.983606557377049,0.721311475409836,0.962562994960403,231.82,215.12,,360655565,2013.0,0
1200807,12.0,2019,17.0,65.0,1545.0,0,0.445954692556634,0.02588996764,0.941176470588235,1.0,0.769230769230769,0.323076923076923,0.174110032362459,,,,226958545,2015.0,1
1200054,12.0,2019,37.0,82.0,1104.0,1,0.462862318840579,0.0606884058,0.108108108108108,0.513513513513513,0.5243902439,0.292682926829268,0.5625,215.34,198.37,,92705198,2015.0,1
1200104,12.0,2019,30.0,109.0,2118.0,1,0.464117091595845,0.05240793201,0.433333333333333,0.466666666666666,0.761467889908256,0.614678899082568,0.6033994334,241.34,219.24,,454008757,2015.0,1
1200252,12.0,2019,14.0,85.0,1613.0,1,0.455052696838189,0.09547427154,0.428571428571428,0.785714285714285,0.7882352941,0.529411764705882,0.748915065096094,233.5,218.16,,422617491,2015.0,1
1200708,12.0,2019,19.0,55.0,704.0,1,0.455965909090909,0.05113636364,0.05263157895,0.526315789473684,0.527272727272727,0.363636363636363,0.538352272727272,229.01,213.32,,274589036,2015.0,1
2902500,29.0,2019,19.0,113.0,2207.0,1,0.490711372904395,0.151336656094245,1.0,0.947368421052631,0.407079646017699,0.805309734513274,0.336656094245582,205.18,199.74,,169350733,2015.0,1
2903201,29.0,2019,60.0,893.0,17850.0,0,0.487899159663865,0.05742296919,1.0,1.0,0.717805151175811,0.492721164613661,0.878039215686274,215.04,208.02,,5055223454,2017.0,1
2907400,29.0,2019,6.0,39.0,532.0,0,0.464285714285714,0.06578947368,1.0,1.0,0.769230769230769,0.692307692307692,0.622180451127819,194.59,197.03,,76167061,2009.0,0
2911105,29.0,2019,42.0,251.0,3526.0,1,0.478445830969937,0.02127056154,1.0,0.952380952380952,0.876494023904382,0.98804780876494,0.710153148043108,203.11,190.98,,1854011765,2015.0,1
2919553,29.0,2019,26.0,471.0,13707.0,1,0.485883125410374,0.09834391187,1.0,1.0,0.955414012738853,0.734607218683651,0.9551324141,222.82,217.71,,5803723039,2016.0,1
2926202,29.0,2019,43.0,250.0,3505.0,1,0.469044222539229,0.08844507846,0.930232558139534,0.953488372093023,0.504,0.74,0.410556348074179,183.19,172.78,,774721652,2015.0,1
2928901,29.0,2019,34.0,226.0,5322.0,1,0.481773769259676,0.140172867343104,1.0,0.970588235294117,0.893805309734513,0.548672566371681,0.274708756106726,205.26,198.71,,260784753,2016.0,1
2901403,29.0,2019,25.0,100.0,2066.0,1,0.470958373668925,0.151016456921587,1.0,1.0,0.75,0.97,0.491771539206195,195.55,187.72,,141674055,2015.0,1
2904407,29.0,2019,12.0,115.0,1201.0,0,0.470441298917568,0.102414654454621,1.0,0.916666666666666,0.513043478260869,0.817391304347826,0.476269775187343,206.31,183.12,,9519493,2015.0,1
2909406,29.0,2019,26.0,167.0,2127.0,0,0.48142924306535,0.110014104372355,0.961538461538461,0.961538461538461,0.479041916167664,0.604790419161676,0.44428772919605,201.67,194.16,,137319653,2011.0,0
2909703,29.0,2019,24.0,116.0,1985.0,0,0.460453400503778,0.269521410579345,1.0,1.0,0.801724137931034,0.879310344827586,0.359697732997481,199.5,187.03,,122780563,2015.0,1
2920452,29.0,2019,21.0,157.0,1868.0,1,0.444325481798715,0.01659528908,0.952380952380952,1.0,0.7324840764,1.0,0.39882226980728,190.16,178.84,,86508948,2015.0,1
2928406,29.0,2019,36.0,299.0,3585.0,0,0.468619246861924,0.04239888424,1.0,0.972222222222222,0.505016722408026,0.652173913043478,0.637099023709902,203.25,182.53,,238839149,2015.0,1
2930907,29.0,2019,30.0,152.0,1765.0,0,0.462889518413597,0.07818696884,1.0,0.933333333333333,0.171052631578947,0.855263157894736,0.474220963172804,197.29,185.04,,104346612,2015.0,1
2933455,29.0,2019,22.0,112.0,1821.0,0,0.466227347611202,0.2141680395,1.0,0.954545454545454,0.696428571428571,0.696428571428571,0.695222405271828,218.74,204.13,,13250765,2015.0,1
2906105,29.0,2019,18.0,142.0,1554.0,0,0.448519948519948,0.335263835263835,1.0,1.0,0.535211267605633,0.992957746478873,0.505148005148005,199.46,186.59,,69609034,2009.0,0
2908101,29.0,2019,34.0,201.0,2925.0,1,0.474188034188034,0.203760683760683,1.0,0.823529411764705,0.621890547263681,0.701492537313432,0.622222222222222,210.16,196.33,,297690115,2017.0,1
2909109,29.0,2019,14.0,139.0,2008.0,1,0.493525896414342,0.183764940239043,1.0,1.0,0.8417266187,0.884892086330935,0.59711155378486,210.09,202.2,,140892616,2015.0,1
2909307,29.0,2019,30.0,271.0,4790.0,1,0.459707724425887,0.184968684759916,0.933333333333333,0.966666666666666,0.752767527675276,0.723247232472324,0.405636743215031,212.64,198.37,,1468942532,2015.0,1
2917359,29.0,2019,6.0,86.0,1226.0,0,0.461663947797716,0.276508972267536,1.0,1.0,0.77906976744186,0.825581395348837,0.646818923327895,219.53,214.93,,57970765,2015.0,1
2928109,29.0,2019,30.0,280.0,5213.0,0,0.470554383272587,0.163821216190293,1.0,1.0,0.832142857142857,0.660714285714285,0.559178975637828,210.83,196.8,,477317977,2017.0,1
2928208,29.0,2019,24.0,196.0,3598.0,1,0.472206781545302,0.05975541968,1.0,1.0,0.729591836734693,0.801020408163265,0.529460811561978,198.4,189.33,,259408836,2015.0,1
2929057,29.0,2019,8.0,137.0,2134.0,0,0.473758200562324,0.142924086223055,1.0,1.0,0.554744525547445,0.598540145985401,0.782099344,213.07,201.0,,193047159,2015.0,1
2930303,29.0,2019,22.0,164.0,2106.0,0,0.461538461538461,0.09449192783,1.0,1.0,0.810975609756097,0.9268292683,0.50997151,195.88,188.5,,158732926,2015.0,1
2905909,29.0,2019,122.0,312.0,4644.0,0,0.472006890611541,0.07730404823,0.786885245901639,0.827868852459016,0.253205128205128,0.762820512820512,0.300602928509905,189.07,174.85,,244153494,2015.0,1
2907202,29.0,2019,107.0,548.0,9938.0,0,0.465083517810424,0.0207285168,1.0,0.420560747663551,0.374087591240875,0.770072992700729,0.393942443147514,195.52,183.32,,758199948,2015.0,1
2909901,29.0,2019,47.0,305.0,5572.0,1,0.480258435032304,0.07501794688,1.0,1.0,0.731147540983606,0.563934426229508,0.439877961234745,207.49,192.41,,31277329,2015.0,1
2918407,29.0,2019,92.0,1070.0,22534.0,0,0.474394248690867,0.104730629271323,1.0,1.0,0.918691588785046,0.376635514018691,0.620795242744297,221.31,209.13,,4383832672,2015.0,1
2924405,29.0,2019,107.0,402.0,6356.0,1,0.4600377596,0.07158590308,1.0,0.775700934579439,0.5547263682,0.4179104478,0.329295154185022,198.64,177.94,,267837084,2015.0,1
2926004,29.0,2019,81.0,375.0,5638.0,1,0.464703795672224,0.08283079106,0.950617283950617,0.851851851851851,0.522666666666666,0.48,0.578219226676126,204.35,192.87,,396045391,2015.0,1
2930204,29.0,2019,57.0,346.0,5775.0,1,0.473073593073593,0.0683982684,1.0,0.947368421052631,0.786127167630057,0.797687861271676,0.449350649350649,196.32,179.19,,1227218206,2015.0,1
2930774,29.0,2019,13.0,182.0,3035.0,1,0.480395387149917,0.0784184514,1.0,1.0,0.571428571428571,0.434065934065934,0.966721581548599,208.91,190.7,,755226149,2015.0,1
2900207,29.0,2019,21.0,168.0,2993.0,1,0.489475442699632,0.009021049115,1.0,0.904761904761904,0.744047619047619,0.797619047619047,0.415636485131974,216.8,194.98,,151219913,2013.0,0
2907707,29.0,2019,20.0,117.0,1704.0,0,0.46537558685446,0.01877934272,1.0,0.9,0.564102564102564,0.581196581196581,0.419600938967136,201.31,188.59,,81276611,2015.0,1
2911402,29.0,2019,20.0,105.0,2185.0,1,0.467734553775743,0.154691075514874,1.0,1.0,0.9619047619,0.79047619047619,0.340045766590389,,,,197161096,2015.0,1
2919900,29.0,2019,14.0,113.0,1139.0,0,0.482879719051799,0.02809482002,0.857142857142857,1.0,0.646017699115044,0.548672566371681,0.431079894644424,189.46,171.61,,53782956,2015.0,1
2924009,29.0,2019,59.0,540.0,12701.0,1,0.475238170222817,0.176993937485237,1.0,1.0,0.792592592592592,0.579629629629629,0.828359971655775,215.28,202.96,,3698440936,2015.0,1
2927101,29.0,2019,10.0,116.0,1514.0,0,0.480184940554821,0.105680317040951,1.0,1.0,0.672413793103448,0.293103448275862,0.815059445178335,199.8,191.29,,97402198,2015.0,1
2902708,29.0,2019,58.0,428.0,9315.0,0,0.455609232420826,0.02930756844,1.0,0.982758620689655,0.829439252336448,0.960280373831775,0.400644122383252,195.95,181.74,,380200862,2015.0,1
2904753,29.0,2019,23.0,250.0,3410.0,0,0.48357771260997,0.174193548387096,1.0,1.0,0.544,0.552,0.496187683284457,193.62,178.99,,138205618,2015.0,1
2913200,29.0,2019,14.0,175.0,3674.0,1,0.474686989657049,0.0669569951,1.0,1.0,0.782857142857142,0.708571428571428,0.818181818181818,195.58,184.6,,369100206,2015.0,1
2915353,29.0,2019,49.0,182.0,2199.0,0,0.485220554797635,0.08276489313,0.9795918367,0.857142857142857,0.472527472527472,0.456043956,0.202819463392451,183.46,162.82,,126542139,2015.0,1
2921609,29.0,2019,9.0,80.0,1241.0,0,0.475423045930701,0.07655116841,1.0,1.0,0.45,0.7,0.6849315068,177.67,164.06,,67334957,2015.0,1
2922250,29.0,2019,17.0,193.0,2082.0,1,0.458693563880883,0.05139289145,1.0,1.0,0.564766839378238,0.626943005181347,0.115273775216138,191.0,175.86,,14658114,2015.0,1
2933604,29.0,2019,116.0,460.0,7344.0,0,0.492919389978213,0.03431372549,1.0,1.0,0.38695652173913,0.821739130434782,0.669798474945533,194.77,183.69,,410620419,2015.0,1
2903904,29.0,2019,48.0,420.0,9389.0,1,0.475982532751091,0.108957290446266,0.979166666666666,1.0,0.804761904761904,0.759523809523809,0.591756310576206,190.51,179.66,,1107151164,2018.0,1
2907103,29.0,2019,29.0,244.0,4632.0,1,0.476683937823834,0.05505181347,1.0,1.0,0.778688524590163,0.983606557377049,0.459844559585492,198.45,185.46,,244171718,2015.0,1
2910776,29.0,2019,6.0,63.0,651.0,1,0.476190476190476,0.07680491551,1.0,1.0,0.746031746,0.761904761904761,0.775729646697388,,,,53905717,2015.0,1
2923704,29.0,2019,51.0,392.0,5068.0,1,0.478097868981846,0.07853196527,1.0,0.941176470588235,0.382653061224489,0.683673469387755,0.4737569061,183.58,177.82,,230761974,2015.0,1
2930154,29.0,2019,35.0,415.0,5542.0,0,0.470588235294117,0.141645615301335,1.0,1.0,0.754216867469879,0.795180722891566,0.277336701551786,197.91,187.2,,306741446,2015.0,1
2930758,29.0,2019,26.0,170.0,2293.0,0,0.444395987788922,0.04884430877,1.0,1.0,0.741176470588235,0.752941176470588,0.452682075883122,178.11,162.62,,104300121,2015.0,1
2901353,29.0,2019,11.0,111.0,1908.0,1,0.45649895178197,0.06132075472,0.909090909090909,1.0,0.864864864864864,0.9189189189,0.6493710692,204.48,183.92,,183429973,2015.0,1
2901809,29.0,2019,19.0,89.0,1386.0,1,0.456709956709956,0.08585858586,0.894736842105263,1.0,0.505617977528089,0.775280898876404,0.64069264069264,212.96,193.83,,72895229,2009.0,0
2906006,29.0,2019,95.0,439.0,9380.0,0,0.47547974413646,0.102665245202558,0.989473684210526,1.0,0.635535307517084,0.599088838268792,0.280703624733475,203.51,192.25,,953324659,2015.0,1
2910859,29.0,2019,16.0,131.0,2454.0,0,0.480847595762021,0.107171964140179,1.0,1.0,0.763358778625954,0.870229007633587,0.599429502852485,188.05,169.46,,126549915,2015.0,1
2917003,29.0,2019,45.0,299.0,5272.0,1,0.474962063732928,0.03566009105,0.977777777777777,1.0,0.729096989966555,0.896321070234113,0.358687405159332,194.38,181.74,,284772797,2015.0,1
2917706,29.0,2019,24.0,216.0,3194.0,0,0.470256731371321,0.08484658735,1.0,1.0,0.546296296296296,0.708333333333333,0.265810895428929,198.33,183.21,,776786038,2015.0,1
2924603,29.0,2019,19.0,161.0,2826.0,1,0.468506723283793,0.0491861288,1.0,1.0,0.645962732919254,0.739130434782608,0.382519462137296,206.99,196.76,,149095277,2015.0,1
2930105,29.0,2019,50.0,295.0,6338.0,1,0.471284316819185,0.05033133481,0.98,1.0,0.932203389830508,0.901694915254237,0.581887030609024,186.59,176.17,,897707742,2015.0,1
2932457,29.0,2019,9.0,133.0,2170.0,0,0.493548387096774,0.158064516129032,0.888888888888888,1.0,0.8496240602,0.842105263157894,0.541013824884792,188.47,175.26,,143772388,2017.0,1
2901155,29.0,2019,16.0,146.0,2469.0,1,0.473066018631024,0.09842041312,1.0,1.0,0.602739726027397,0.623287671232876,0.304171729445119,200.39,182.96,,133271766,2015.0,1
2903003,29.0,2019,16.0,198.0,1823.0,1,0.460778935820076,0.14371914426769,1.0,1.0,0.691919191919191,0.242424242424242,0.394953373560065,228.1,217.24,,97882139,2015.0,1
2903235,29.0,2019,15.0,124.0,1845.0,0,0.466124661246612,0.13170731707317,1.0,1.0,0.838709677419354,0.935483871,0.729539295392953,209.66,192.25,,99898978,2015.0,1
2905305,29.0,2019,15.0,138.0,2716.0,1,0.47680412371134,0.06885125184,1.0,1.0,0.760869565217391,0.898550724637681,0.645434462444771,201.37,181.95,,204120358,2015.0,1
2906204,29.0,2019,13.0,181.0,3231.0,1,0.485608170844939,0.08077994429,1.0,1.0,0.701657458563535,0.756906077348066,0.566388115134633,196.77,176.89,,207648381,2015.0,1
2907608,29.0,2019,11.0,137.0,1983.0,1,0.466464952092788,0.128593040847201,1.0,1.0,0.875912408759124,0.992700729927007,0.509329299041855,188.99,172.39,,167025197,2015.0,1
2911303,29.0,2019,43.0,151.0,1560.0,1,0.484615384615384,0.134615384615384,0.976744186046511,1.0,0.516556291390728,0.516556291390728,0.446794871794871,224.36,205.3,,139915439,2001.0,0
2912400,29.0,2019,21.0,146.0,2121.0,0,0.472418670438472,0.157472890146157,1.0,1.0,0.8219178082,0.7739726027,0.307402168788307,214.22,194.78,,137765639,2015.0,1
2913101,29.0,2019,23.0,163.0,2164.0,0,0.463493530499075,0.120609981515711,1.0,1.0,0.607361963190184,0.791411042944785,0.418207024029574,196.52,176.13,,128142258,2015.0,1
2914406,29.0,2019,19.0,137.0,3340.0,0,0.488622754491017,0.02275449102,1.0,1.0,0.905109489051094,0.75912408759124,0.368562874251497,228.79,209.77,,472329901,2015.0,1
2914604,29.0,2019,26.0,325.0,6751.0,1,0.484076433121019,0.153606873055843,1.0,1.0,0.852307692307692,0.627692307692307,0.900014812620352,218.25,206.83,,1346999686,2015.0,1
2918357,29.0,2019,16.0,180.0,3483.0,0,0.485501004880849,0.09388458226,1.0,1.0,0.938888888888888,0.861111111111111,0.631065173700832,207.28,189.36,,234551272,2015.0,1
2918506,29.0,2019,29.0,144.0,2272.0,1,0.47931338028169,0.04929577465,1.0,1.0,0.875,0.909722222222222,0.550616197183098,208.08,188.22,,108343027,2015.0,1
2919157,29.0,2019,16.0,197.0,3636.0,0,0.468096809680968,0.099559956,1.0,1.0,0.604060913705583,0.629441624365482,0.329757975797579,205.53,190.26,,250443808,2015.0,1
2922052,29.0,2019,13.0,127.0,2168.0,0,0.464944649446494,0.0184501845,1.0,1.0,0.732283464566929,0.708661417322834,0.500461254612546,203.76,190.74,,98952508,2015.0,1
2925600,29.0,2019,17.0,110.0,1758.0,1,0.4846416382,0.219567690557451,1.0,1.0,0.681818181818181,0.463636363636363,0.551194539249146,201.74,191.81,,108608562,2015.0,1
2929255,29.0,2019,24.0,160.0,2514.0,0,0.472951471758154,0.07239459029,1.0,1.0,0.8,0.675,0.474144789180588,222.65,207.47,,126859476,2015.0,1
2930808,29.0,2019,16.0,109.0,2423.0,1,0.50185720181593,0.139496491952125,1.0,1.0,0.577981651376146,0.568807339449541,0.293025175402393,211.74,201.4,,125617772,2015.0,1
2932408,29.0,2019,15.0,120.0,1471.0,0,0.478585995921142,0.12304554724677,1.0,1.0,0.641666666666666,0.633333333333333,0.444595513256288,194.05,178.41,,96551172,2014.0,1
2905107,29.0,2019,12.0,81.0,1616.0,1,0.449876237623762,0.05940594059,1.0,1.0,0.518518518518518,0.975308641975308,0.433787128712871,200.62,184.72,,80047127,2014.0,1
2905503,29.0,2019,15.0,146.0,1935.0,0,0.471834625322997,0.02428940568,1.0,1.0,0.602739726027397,0.458904109589041,0.349354005167958,172.17,162.31,,96854529,2015.0,1
2906873,29.0,2019,23.0,158.0,3698.0,0,0.4580854516,0.07220118983,1.0,1.0,0.898734177215189,0.784810126582278,0.827744726879394,199.69,184.51,,425266043,2015.0,1
2917508,29.0,2019,34.0,345.0,8323.0,0,0.472545956986663,0.04625735913,1.0,1.0,0.8811594203,0.971014492753623,0.650006007449237,197.76,191.77,,1406428953,2015.0,1
2921203,29.0,2019,32.0,142.0,3172.0,0,0.461853720050441,0.09300126103,1.0,1.0,0.859154929577464,0.957746478873239,0.560529634300126,217.06,207.78,,221068091,2017.0,1
2921401,29.0,2019,20.0,141.0,2256.0,0,0.456117021276595,0.06294326241,1.0,1.0,0.702127659574468,0.921985815602836,0.364361702127659,218.03,206.82,,127178407,2015.0,1
2921708,29.0,2019,34.0,217.0,4572.0,1,0.466754155730533,0.02296587927,1.0,1.0,0.4562211982,0.834101382488479,0.479658792650918,209.79,204.5,,724981257,2015.0,1
2923357,29.0,2019,11.0,139.0,2872.0,0,0.489902506963788,0.04456824513,1.0,1.0,0.812949640287769,0.812949640287769,0.469011142061281,187.2,172.3,,320800911,2015.0,1
2924801,29.0,2019,21.0,151.0,2424.0,1,0.471947194719471,0.03671617162,1.0,1.0,0.721854304635761,0.708609271523178,0.45585808580858,204.93,194.39,,157854954,2015.0,1
2925253,29.0,2019,25.0,133.0,2730.0,0,0.466666666666666,0.04761904762,1.0,1.0,0.624060150375939,0.887218045112781,0.615750915750915,194.96,179.59,,114482576,2015.0,1
2925931,29.0,2019,15.0,95.0,1196.0,0,0.45066889632107,0.05852842809,0.733333333333333,1.0,0.726315789473684,0.926315789473684,0.566889632107023,206.96,197.27,,6501954,2016.0,1
